From	To	Species	Gene Name
IQSEC3	100134209	Homo sapiens	IQ motif and Sec7 domain 3; similar to IQ motif and Sec7 domain-containing protein 3; similar to IQ motif and SEC7 domain-containing protein 3; similar to IQ motif and Sec7 domain 3
IQSEC3	728056	Homo sapiens	IQ motif and Sec7 domain 3; similar to IQ motif and Sec7 domain-containing protein 3; similar to IQ motif and SEC7 domain-containing protein 3; similar to IQ motif and Sec7 domain 3
IQSEC3	731035	Homo sapiens	IQ motif and Sec7 domain 3; similar to IQ motif and Sec7 domain-containing protein 3; similar to IQ motif and SEC7 domain-containing protein 3; similar to IQ motif and Sec7 domain 3
CDC42EP4	23580	Homo sapiens	CDC42 effector protein (Rho GTPase binding) 4
CDC42EP3	10602	Homo sapiens	CDC42 effector protein (Rho GTPase binding) 3
IQSEC1	9922	Homo sapiens	IQ motif and Sec7 domain 1
CDC42EP5	148170	Homo sapiens	CDC42 effector protein (Rho GTPase binding) 5
PRPF40A	55660	Homo sapiens	PRP40 pre-mRNA processing factor 40 homolog A (S. cerevisiae)
IQSEC2	23096	Homo sapiens	IQ motif and Sec7 domain 2
DVL2	1856	Homo sapiens	dishevelled, dsh homolog 2 (Drosophila)
ODC1	4953	Homo sapiens	ornithine decarboxylase 1
DVL3	1857	Homo sapiens	dishevelled, dsh homolog 3 (Drosophila)
KLF12	11278	Homo sapiens	Kruppel-like factor 12
MAP2K1	5604	Homo sapiens	mitogen-activated protein kinase kinase 1
KLF13	51621	Homo sapiens	Kruppel-like factor 13
MAP2K2	5605	Homo sapiens	mitogen-activated protein kinase kinase 2 pseudogene; mitogen-activated protein kinase kinase 2
MAP2K2	407835	Homo sapiens	mitogen-activated protein kinase kinase 2 pseudogene; mitogen-activated protein kinase kinase 2
MAP2K3	5606	Homo sapiens	mitogen-activated protein kinase kinase 3
KLF10	7071	Homo sapiens	Kruppel-like factor 10
MAP2K4	6416	Homo sapiens	mitogen-activated protein kinase kinase 4
KLF11	8462	Homo sapiens	Kruppel-like factor 11
KLF16	83855	Homo sapiens	Kruppel-like factor 16
KLF17	128209	Homo sapiens	Kruppel-like factor 17
KLF14	136259	Homo sapiens	Kruppel-like factor 14
KLF15	28999	Homo sapiens	Kruppel-like factor 15
IFI27L2	83982	Homo sapiens	interferon, alpha-inducible protein 27-like 2
FXR2	9513	Homo sapiens	fragile X mental retardation, autosomal homolog 2
IFI27L1	122509	Homo sapiens	interferon, alpha-inducible protein 27-like 1
NPY5R	4889	Homo sapiens	neuropeptide Y receptor Y5
DVL1	8215	Homo sapiens	dishevelled, dsh homolog 1 (Drosophila); dishevelled, dsh homolog 1 (Drosophila)-like 1
DVL1	1855	Homo sapiens	dishevelled, dsh homolog 1 (Drosophila); dishevelled, dsh homolog 1 (Drosophila)-like 1
FXR1	8087	Homo sapiens	fragile X mental retardation, autosomal homolog 1
PENK	5179	Homo sapiens	proenkephalin
HSPA14	51182	Homo sapiens	heat shock 70kDa protein 14
HSPA13	6782	Homo sapiens	heat shock protein 70kDa family, member 13
SLC9A1	6548	Homo sapiens	solute carrier family 9 (sodium/hydrogen exchanger), member 1
LEPROTL1	23484	Homo sapiens	leptin receptor overlapping transcript-like 1
CRNKL1	51340	Homo sapiens	crooked neck pre-mRNA splicing factor-like 1 (Drosophila)
DGCR10	26222	Homo sapiens	DiGeorge syndrome critical region gene 10
CRCP	27297	Homo sapiens	CGRP receptor component
DGCR11	25786	Homo sapiens	DiGeorge syndrome critical region gene 11
DGCR14	8220	Homo sapiens	DiGeorge syndrome critical region gene 14
GUCY1A2	2977	Homo sapiens	guanylate cyclase 1, soluble, alpha 2
GUCY1A3	2982	Homo sapiens	guanylate cyclase 1, soluble, alpha 3
PIK3AP1	118788	Homo sapiens	phosphoinositide-3-kinase adaptor protein 1
SIK1	150094	Homo sapiens	salt-inducible kinase 1
SIK2	23235	Homo sapiens	salt-inducible kinase 2
SIK3	23387	Homo sapiens	serine/threonine-protein kinase QSK
LAG3	3902	Homo sapiens	lymphocyte-activation gene 3
PEPD	5184	Homo sapiens	peptidase D
LDHAL6B	92483	Homo sapiens	lactate dehydrogenase A-like 6B
LDHAL6A	160287	Homo sapiens	lactate dehydrogenase A-like 6A
ZSWIM6	57688	Homo sapiens	zinc finger, SWIM-type containing 6
ZSWIM7	125150	Homo sapiens	zinc finger, SWIM-type containing 7
ZSWIM2	151112	Homo sapiens	zinc finger, SWIM-type containing 2
ZSWIM3	140831	Homo sapiens	zinc finger, SWIM-type containing 3
GPR37L1	9283	Homo sapiens	G protein-coupled receptor 37 like 1
ZSWIM5	57643	Homo sapiens	zinc finger, SWIM-type containing 5
NCK2	8440	Homo sapiens	NCK adaptor protein 2
ZSWIM1	90204	Homo sapiens	zinc finger, SWIM-type containing 1
XPR1	9213	Homo sapiens	xenotropic and polytropic retrovirus receptor
NCK1	4690	Homo sapiens	NCK adaptor protein 1
NUP205	23165	Homo sapiens	nucleoporin 205kDa
SIL1	64374	Homo sapiens	SIL1 homolog, endoplasmic reticulum chaperone (S. cerevisiae)
GUCY1B2	2974	Homo sapiens	guanylate cyclase 1, soluble, beta 2
GUCY1B3	2983	Homo sapiens	guanylate cyclase 1, soluble, beta 3
NPY2R	4887	Homo sapiens	neuropeptide Y receptor Y2
CREM	1390	Homo sapiens	cAMP responsive element modulator
POLA1	5422	Homo sapiens	polymerase (DNA directed), alpha 1, catalytic subunit
POLA2	23649	Homo sapiens	polymerase (DNA directed), alpha 2 (70kD subunit)
LOC100131564	100131564	Homo sapiens	hypothetical protein LOC100131564
NUP214	8021	Homo sapiens	nucleoporin 214kDa
COL6A6	131873	Homo sapiens	collagen type VI alpha 6
TCEA3	6920	Homo sapiens	transcription elongation factor A (SII), 3
NUP210	23225	Homo sapiens	nucleoporin 210kDa
COL6A3	1293	Homo sapiens	collagen, type VI, alpha 3
COL6A2	1292	Homo sapiens	collagen, type VI, alpha 2
PER2	8864	Homo sapiens	period homolog 2 (Drosophila)
PER1	5187	Homo sapiens	period homolog 1 (Drosophila)
COL6A1	1291	Homo sapiens	collagen, type VI, alpha 1
PER4	168741	Homo sapiens	period 4 pseudogene
TCEA2	6919	Homo sapiens	transcription elongation factor A (SII), 2
PER3	8863	Homo sapiens	period homolog 3 (Drosophila)
LOC148824	148824	Homo sapiens	hypothetical LOC148824
SIM1	6492	Homo sapiens	single-minded homolog 1 (Drosophila)
SIM2	6493	Homo sapiens	single-minded homolog 2 (Drosophila)
LOC440993	440993	Homo sapiens	hypothetical LOC440993
NPY1R	4886	Homo sapiens	neuropeptide Y receptor Y1
DSCR10	259234	Homo sapiens	Down syndrome critical region gene 10
HSPA4L	22824	Homo sapiens	heat shock 70kDa protein 4-like
TCEB2	6923	Homo sapiens	transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)
TCEB3	6924	Homo sapiens	transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)
MPPED2	744	Homo sapiens	metallophosphoesterase domain containing 2
MPPED1	758	Homo sapiens	metallophosphoesterase domain containing 1
TCEB1	100132973	Homo sapiens	similar to elongin C; transcription elongation factor B (SIII), polypeptide 1 (15kDa, elongin C)
TCEB1	6921	Homo sapiens	similar to elongin C; transcription elongation factor B (SIII), polypeptide 1 (15kDa, elongin C)
UBLCP1	134510	Homo sapiens	ubiquitin-like domain containing CTD phosphatase 1
TAPBPL	55080	Homo sapiens	TAP binding protein-like
PERP	64065	Homo sapiens	PERP, TP53 apoptosis effector
PES1	23481	Homo sapiens	pescadillo homolog 1, containing BRCT domain (zebrafish)
NCLN	56926	Homo sapiens	nicalin homolog (zebrafish)
XPO1	7514	Homo sapiens	exportin 1 (CRM1 homolog, yeast)
XPO6	23214	Homo sapiens	exportin 6
XPO5	57510	Homo sapiens	exportin 5
HMGCR	3156	Homo sapiens	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
XPO4	64328	Homo sapiens	exportin 4
RCVRN	5957	Homo sapiens	recoverin
ZIC1	7545	Homo sapiens	Zic family member 1 (odd-paired homolog, Drosophila)
ZIC3	7547	Homo sapiens	Zic family member 3 (odd-paired homolog, Drosophila)
ZIC2	7546	Homo sapiens	Zic family member 2 (odd-paired homolog, Drosophila)
IGHMBP2	3508	Homo sapiens	immunoglobulin mu binding protein 2
IDH3G	3421	Homo sapiens	isocitrate dehydrogenase 3 (NAD+) gamma
PGRMC1	10857	Homo sapiens	progesterone receptor membrane component 1
PGRMC2	10424	Homo sapiens	progesterone receptor membrane component 2
MYEOV	26579	Homo sapiens	myeloma overexpressed (in a subset of t(11;14) positive multiple myelomas)
HMGCL	3155	Homo sapiens	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase
LRRN4CL	221091	Homo sapiens	LRRN4 C-terminal like
LAD1	3898	Homo sapiens	ladinin 1
SIX3	6496	Homo sapiens	SIX homeobox 3
SIX2	10736	Homo sapiens	SIX homeobox 2
SIX5	147912	Homo sapiens	SIX homeobox 5
SIX4	51804	Homo sapiens	SIX homeobox 4
SIX6	4990	Homo sapiens	SIX homeobox 6
SIX1	6495	Homo sapiens	SIX homeobox 1
C15orf59	388135	Homo sapiens	chromosome 15 open reading frame 59
HMGB1	100130561	Homo sapiens	high-mobility group box 1; high-mobility group box 1-like 10
HMGB1	3146	Homo sapiens	high-mobility group box 1; high-mobility group box 1-like 10
DEFB121	245934	Homo sapiens	defensin, beta 121
HMGB2	3148	Homo sapiens	high-mobility group box 2
HMGB3	729595	Homo sapiens	similar to high mobility group box 3; high-mobility group box 3
HMGB3	646993	Homo sapiens	similar to high mobility group box 3; high-mobility group box 3
HMGB3	3149	Homo sapiens	similar to high mobility group box 3; high-mobility group box 3
HMGB3	729952	Homo sapiens	similar to high mobility group box 3; high-mobility group box 3
DEFB124	245937	Homo sapiens	defensin, beta 124
HMGB4	127540	Homo sapiens	high-mobility group box 4
DEFB125	245938	Homo sapiens	defensin, beta 125
DEFB123	245936	Homo sapiens	defensin, beta 123
COL28A1	340267	Homo sapiens	collagen, type XXVIII, alpha 1
DEFB129	140881	Homo sapiens	defensin, beta 129
SLC38A10	124565	Homo sapiens	solute carrier family 38, member 10
SLC38A11	151258	Homo sapiens	solute carrier family 38, member 11
DEFB126	81623	Homo sapiens	defensin, beta 126
DEFB127	140850	Homo sapiens	defensin, beta 127
POLE4	56655	Homo sapiens	polymerase (DNA-directed), epsilon 4 (p12 subunit)
CRB1	23418	Homo sapiens	crumbs homolog 1 (Drosophila)
POLE2	5427	Homo sapiens	polymerase (DNA directed), epsilon 2 (p59 subunit)
CRB2	286204	Homo sapiens	crumbs homolog 2 (Drosophila)
POLE3	54107	Homo sapiens	polymerase (DNA directed), epsilon 3 (p17 subunit)
C15orf61	145853	Homo sapiens	chromosome 15 open reading frame 61
C15orf60	283677	Homo sapiens	chromosome 15 open reading frame 60
C15orf62	643338	Homo sapiens	chromosome 15 open reading frame 62
XPOT	441228	Homo sapiens	exportin, tRNA (nuclear export receptor for tRNAs); similar to Exportin-T (tRNA exportin) (Exportin(tRNA))
XPOT	11260	Homo sapiens	exportin, tRNA (nuclear export receptor for tRNAs); similar to Exportin-T (tRNA exportin) (Exportin(tRNA))
DEFB132	400830	Homo sapiens	defensin, beta 132
EPB41	2035	Homo sapiens	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)
EPAS1	2034	Homo sapiens	endothelial PAS domain protein 1
EPB42	2038	Homo sapiens	erythrocyte membrane protein band 4.2
CRB3	92359	Homo sapiens	crumbs homolog 3 (Drosophila)
IDH3B	3420	Homo sapiens	isocitrate dehydrogenase 3 (NAD+) beta
CRAT	1384	Homo sapiens	carnitine acetyltransferase
EPB49	2039	Homo sapiens	erythrocyte membrane protein band 4.9 (dematin)
IDH3A	3419	Homo sapiens	isocitrate dehydrogenase 3 (NAD+) alpha
POLD3	10714	Homo sapiens	polymerase (DNA-directed), delta 3, accessory subunit
POLD4	57804	Homo sapiens	polymerase (DNA-directed), delta 4
NOSIP	51070	Homo sapiens	nitric oxide synthase interacting protein
CRBN	51185	Homo sapiens	cereblon
ZIC4	84107	Homo sapiens	Zic family member 4
POLD1	5424	Homo sapiens	polymerase (DNA directed), delta 1, catalytic subunit 125kDa
ZIC5	85416	Homo sapiens	Zic family member 5 (odd-paired homolog, Drosophila)
POLD2	5425	Homo sapiens	polymerase (DNA directed), delta 2, regulatory subunit 50kDa
XPO7	23039	Homo sapiens	exportin 7
RHOJ	57381	Homo sapiens	ras homolog gene family, member J
NDST3	9348	Homo sapiens	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3
NDST4	64579	Homo sapiens	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 4
NDST1	3340	Homo sapiens	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1
NDST2	8509	Homo sapiens	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2
PEX6	5190	Homo sapiens	peroxisomal biogenesis factor 6
PEX5	5830	Homo sapiens	peroxisomal biogenesis factor 5
RHOQ	23433	Homo sapiens	ras homolog gene family, member Q; similar to small GTP binding protein TC10
RHOQ	730041	Homo sapiens	ras homolog gene family, member Q; similar to small GTP binding protein TC10
ZKSCAN1	7586	Homo sapiens	zinc finger with KRAB and SCAN domains 1
PEX3	8504	Homo sapiens	peroxisomal biogenesis factor 3
RHOV	171177	Homo sapiens	ras homolog gene family, member V
C15orf38	348110	Homo sapiens	chromosome 15 open reading frame 38
ZKSCAN3	80317	Homo sapiens	zinc finger with KRAB and SCAN domains 3
RHOU	58480	Homo sapiens	ras homolog gene family, member U
C15orf37	283687	Homo sapiens	chromosome 15 open reading frame 37
ZKSCAN2	342357	Homo sapiens	zinc finger with KRAB and SCAN domains 2
ZKSCAN5	23660	Homo sapiens	zinc finger with KRAB and SCAN domains 5
C15orf39	56905	Homo sapiens	chromosome 15 open reading frame 39
PEX7	5191	Homo sapiens	peroxisomal biogenesis factor 7
ZKSCAN4	387032	Homo sapiens	zinc finger with KRAB and SCAN domains 4
C15orf44	81556	Homo sapiens	chromosome 15 open reading frame 44
PEX1	5189	Homo sapiens	peroxisomal biogenesis factor 1
C15orf40	123207	Homo sapiens	chromosome 15 open reading frame 40
PEX2	5828	Homo sapiens	peroxisomal membrane protein 3, 35kDa
C15orf41	84529	Homo sapiens	chromosome 15 open reading frame 41
C15orf42	90381	Homo sapiens	chromosome 15 open reading frame 42
C15orf43	145645	Homo sapiens	chromosome 15 open reading frame 43
RHOA	387	Homo sapiens	ras homolog gene family, member A
RHOB	388	Homo sapiens	ras homolog gene family, member B
RHOC	389	Homo sapiens	ras homolog gene family, member C
RHOD	29984	Homo sapiens	ras homolog gene family, member D
POLG2	11232	Homo sapiens	polymerase (DNA directed), gamma 2, accessory subunit
RHOF	54509	Homo sapiens	ras homolog gene family, member F (in filopodia)
RHOG	391	Homo sapiens	ras homolog gene family, member G (rho G)
RTEL1	8771	Homo sapiens	tumor necrosis factor receptor superfamily, member 6b, decoy; regulator of telomere elongation helicase 1
RTEL1	51750	Homo sapiens	tumor necrosis factor receptor superfamily, member 6b, decoy; regulator of telomere elongation helicase 1
TSEN15	116461	Homo sapiens	tRNA splicing endonuclease 15 homolog (S. cerevisiae)
RHOH	399	Homo sapiens	ras homolog gene family, member H
SIT1	27240	Homo sapiens	signaling threshold regulating transmembrane adaptor 1
PADI3	51702	Homo sapiens	peptidyl arginine deiminase, type III
PADI2	11240	Homo sapiens	peptidyl arginine deiminase, type II
NCOA7	135112	Homo sapiens	nuclear receptor coactivator 7
PADI4	23569	Homo sapiens	peptidyl arginine deiminase, type IV
HMGA2	8091	Homo sapiens	high mobility group AT-hook 2
HMGA1	100130009	Homo sapiens	hypothetical LOC100130009; high mobility group AT-hook 1
HMGA1	3159	Homo sapiens	hypothetical LOC100130009; high mobility group AT-hook 1
PADI1	29943	Homo sapiens	peptidyl arginine deiminase, type I
COBRA1	25920	Homo sapiens	cofactor of BRCA1
C15orf48	84419	Homo sapiens	chromosome 15 open reading frame 48
C15orf57	90416	Homo sapiens	chromosome 15 open reading frame 57
UGT2B17	7367	Homo sapiens	UDP glucuronosyltransferase 2 family, polypeptide B17
C15orf55	256646	Homo sapiens	chromosome 15 open reading frame 55
NCOA1	8648	Homo sapiens	nuclear receptor coactivator 1
C15orf56	644809	Homo sapiens	chromosome 15 open reading frame 56
NCOA2	10499	Homo sapiens	nuclear receptor coactivator 2
NCOA3	8202	Homo sapiens	nuclear receptor coactivator 3
DPY19L2P3	442524	Homo sapiens	dpy-19-like 2 pseudogene 3 (C. elegans)
C15orf54	400360	Homo sapiens	chromosome 15 open reading frame 54
NCOA4	8031	Homo sapiens	nuclear receptor coactivator 4
NCOA5	57727	Homo sapiens	nuclear receptor coactivator 5
C15orf52	388115	Homo sapiens	chromosome 15 open reading frame 52
NCOA6	23054	Homo sapiens	nuclear receptor coactivator 6
C15orf50	414926	Homo sapiens	chromosome 15 open reading frame 50
UGT2B15	7366	Homo sapiens	UDP glucuronosyltransferase 2 family, polypeptide B15
NCAN	1463	Homo sapiens	neurocan
CALCOCO2	10241	Homo sapiens	calcium binding and coiled-coil domain 2
C15orf17	57184	Homo sapiens	chromosome 15 open reading frame 17
GCN1L1	10985	Homo sapiens	GCN1 general control of amino-acid synthesis 1-like 1 (yeast)
CALCOCO1	57658	Homo sapiens	calcium binding and coiled-coil domain 1
C15orf23	90417	Homo sapiens	chromosome 15 open reading frame 23
C15orf24	56851	Homo sapiens	chromosome 15 open reading frame 24
ODF4	146852	Homo sapiens	outer dense fiber of sperm tails 4
ODF3	113746	Homo sapiens	outer dense fiber of sperm tails 3
ODF2	4957	Homo sapiens	outer dense fiber of sperm tails 2
ODF1	4956	Homo sapiens	outer dense fiber of sperm tails 1
TSEN34	79042	Homo sapiens	tRNA splicing endonuclease 34 homolog (S. cerevisiae)
NCDN	23154	Homo sapiens	neurochondrin
COL13A1	1305	Homo sapiens	collagen, type XIII, alpha 1
C15orf29	79768	Homo sapiens	chromosome 15 open reading frame 29
AHI1	54806	Homo sapiens	Abelson helper integration site 1
C15orf27	123591	Homo sapiens	chromosome 15 open reading frame 27
C15orf26	161502	Homo sapiens	chromosome 15 open reading frame 26
FUCA2	2519	Homo sapiens	fucosidase, alpha-L- 2, plasma
FUCA1	2517	Homo sapiens	fucosidase, alpha-L- 1, tissue
IFIT3	3437	Homo sapiens	interferon-induced protein with tetratricopeptide repeats 3
CADPS	8618	Homo sapiens	Ca++-dependent secretion activator
IFIT2	3433	Homo sapiens	interferon-induced protein with tetratricopeptide repeats 2
C15orf32	145858	Homo sapiens	chromosome 15 open reading frame 32
IFIT1	3434	Homo sapiens	interferon-induced protein with tetratricopeptide repeats 1
HSDL1	83693	Homo sapiens	hydroxysteroid dehydrogenase like 1
HSDL2	84263	Homo sapiens	hydroxysteroid dehydrogenase like 2
C15orf33	196951	Homo sapiens	chromosome 15 open reading frame 33
IFIT5	24138	Homo sapiens	interferon-induced protein with tetratricopeptide repeats 5
C15orf34	80072	Homo sapiens	chromosome 15 open reading frame 34
SCAND3	114821	Homo sapiens	SCAN domain containing 3
SCAND2	54581	Homo sapiens	SCAN domain containing 2 pseudogene
SCAND1	51282	Homo sapiens	SCAN domain containing 1
RARRES3	5920	Homo sapiens	retinoic acid receptor responder (tazarotene induced) 3
DYNC1LI1	51143	Homo sapiens	dynein, cytoplasmic 1, light intermediate chain 1
DYNC1LI2	1783	Homo sapiens	dynein, cytoplasmic 1, light intermediate chain 2
RARRES2	5919	Homo sapiens	retinoic acid receptor responder (tazarotene induced) 2
RARRES1	5918	Homo sapiens	retinoic acid receptor responder (tazarotene induced) 1
PTTG2	9232	Homo sapiens	pituitary tumor-transforming 1; pituitary tumor-transforming 2
PTTG2	10744	Homo sapiens	pituitary tumor-transforming 1; pituitary tumor-transforming 2
PTTG1	9232	Homo sapiens	pituitary tumor-transforming 1; pituitary tumor-transforming 2
PTTG1	10744	Homo sapiens	pituitary tumor-transforming 1; pituitary tumor-transforming 2
CRY2	1408	Homo sapiens	cryptochrome 2 (photolyase-like)
INSIG2	51141	Homo sapiens	insulin induced gene 2
AGPS	8540	Homo sapiens	alkylglycerone phosphate synthase
INSIG1	3638	Homo sapiens	insulin induced gene 1
NUP37	79023	Homo sapiens	nucleoporin 37kDa
NUP35	129401	Homo sapiens	nucleoporin 35kDa
MUC15	143662	Homo sapiens	mucin 15, cell surface associated
CRY1	1407	Homo sapiens	cryptochrome 1 (photolyase-like)
MUC13	56667	Homo sapiens	mucin 13, cell surface associated
TWIST2	117581	Homo sapiens	twist homolog 2 (Drosophila)
MUC12	10071	Homo sapiens	mucin 12, cell surface associated; similar to mucin 11
MUC12	100130716	Homo sapiens	mucin 12, cell surface associated; similar to mucin 11
TWIST1	7291	Homo sapiens	twist homolog 1 (Drosophila)
PDYN	5173	Homo sapiens	prodynorphin
SCGB2A1	4246	Homo sapiens	secretoglobin, family 2A, member 1
PCF11	51585	Homo sapiens	PCF11, cleavage and polyadenylation factor subunit, homolog (S. cerevisiae)
CC2D2B	387707	Homo sapiens	coiled-coil and C2 domain containing 2B
RHCG	51458	Homo sapiens	Rh family, C glycoprotein
RHCE	6006	Homo sapiens	Rh blood group, CcEe antigens
CC2D2A	57545	Homo sapiens	coiled-coil and C2 domain containing 2A
NUP43	348995	Homo sapiens	nucleoporin 43kDa
SCGB2A2	4250	Homo sapiens	secretoglobin, family 2A, member 2
TIPRL	261726	Homo sapiens	TIP41, TOR signaling pathway regulator-like (S. cerevisiae)
SIAE	54414	Homo sapiens	sialic acid acetylesterase
HTATSF1	27336	Homo sapiens	HIV-1 Tat specific factor 1
NUP50	10762	Homo sapiens	nucleoporin 50kDa
AGRN	375790	Homo sapiens	agrin
SNRNP35	340273	Homo sapiens	ATP-binding cassette, sub-family B (MDR/TAP), member 5; small nuclear ribonucleoprotein 35kDa (U11/U12)
SNRNP35	11066	Homo sapiens	ATP-binding cassette, sub-family B (MDR/TAP), member 5; small nuclear ribonucleoprotein 35kDa (U11/U12)
NUP54	53371	Homo sapiens	nucleoporin 54kDa
AGRP	181	Homo sapiens	agouti related protein homolog (mouse)
NCKAP1L	3071	Homo sapiens	NCK-associated protein 1-like
CRYZ	1429	Homo sapiens	crystallin, zeta (quinone reductase)
TAX1BP1	8887	Homo sapiens	Tax1 (human T-cell leukemia virus type I) binding protein 1
CSPP1	79848	Homo sapiens	centrosome and spindle pole associated protein 1
NUP62	23636	Homo sapiens	nucleoporin 62kDa
PRODH2	58510	Homo sapiens	proline dehydrogenase (oxidase) 2
RHEB	6009	Homo sapiens	Ras homolog enriched in brain
SNRNP27	11017	Homo sapiens	small nuclear ribonucleoprotein 27kDa (U4/U6.U5)
AGR3	155465	Homo sapiens	anterior gradient homolog 3 (Xenopus laevis)
AGR2	10551	Homo sapiens	anterior gradient homolog 2 (Xenopus laevis)
SNRNP25	79622	Homo sapiens	small nuclear ribonucleoprotein 25kDa (U11/U12)
CRYM	1428	Homo sapiens	crystallin, mu
IL28RA	163702	Homo sapiens	interleukin 28 receptor, alpha (interferon, lambda receptor)
FCRL2	79368	Homo sapiens	Fc receptor-like 2
FCRL1	115350	Homo sapiens	Fc receptor-like 1
FCRL5	83416	Homo sapiens	Fc receptor-like 5
FCRL4	83417	Homo sapiens	Fc receptor-like 4
FCRL3	115352	Homo sapiens	Fc receptor-like 3
FXC1	26515	Homo sapiens	fracture callus 1 homolog (rat)
PRPF31	26121	Homo sapiens	PRP31 pre-mRNA processing factor 31 homolog (S. cerevisiae)
POLR1E	64425	Homo sapiens	polymerase (RNA) I polypeptide E, 53kDa
POLR1D	51082	Homo sapiens	polymerase (RNA) I polypeptide D, 16kDa
POLR1A	25885	Homo sapiens	polymerase (RNA) I polypeptide A, 194kDa
PRPF39	55015	Homo sapiens	PRP39 pre-mRNA processing factor 39 homolog (S. cerevisiae)
VEZT	55591	Homo sapiens	vezatin, adherens junctions transmembrane protein
POLR1C	9533	Homo sapiens	polymerase (RNA) I polypeptide C, 30kDa
POLR1B	84172	Homo sapiens	polymerase (RNA) I polypeptide B, 128kDa
LDLRAP1	26119	Homo sapiens	low density lipoprotein receptor adaptor protein 1
SNRNP48	154007	Homo sapiens	small nuclear ribonucleoprotein 48kDa (U11/U12)
LAX1	54900	Homo sapiens	lymphocyte transmembrane adaptor 1
LOC100129034	100129034	Homo sapiens	hypothetical protein LOC100129034
SNRNP40	9410	Homo sapiens	small nuclear ribonucleoprotein 40kDa (U5)
FCRLA	84824	Homo sapiens	Fc receptor-like A
FCRLB	127943	Homo sapiens	Fc receptor-like B
PRPF38B	55119	Homo sapiens	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B
PRPF38A	84950	Homo sapiens	PRP38 pre-mRNA processing factor 38 (yeast) domain containing A
POLR2H	5437	Homo sapiens	polymerase (RNA) II (DNA directed) polypeptide H
POLR2G	5436	Homo sapiens	polymerase (RNA) II (DNA directed) polypeptide G
POLR2F	5435	Homo sapiens	polymerase (RNA) II (DNA directed) polypeptide F
POLR2E	5434	Homo sapiens	polymerase (RNA) II (DNA directed) polypeptide E, 25kDa
POLR2L	5441	Homo sapiens	polymerase (RNA) II (DNA directed) polypeptide L, 7.6kDa
POLR2K	5440	Homo sapiens	polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa
POLR2J	5439	Homo sapiens	polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa
SHFM1	7979	Homo sapiens	split hand/foot malformation (ectrodactyly) type 1
POLR2I	5438	Homo sapiens	polymerase (RNA) II (DNA directed) polypeptide I, 14.5kDa
RPL27A	6157	Homo sapiens	ribosomal protein L27a
POLR2D	5433	Homo sapiens	polymerase (RNA) II (DNA directed) polypeptide D
POLR2C	5432	Homo sapiens	polymerase (RNA) II (DNA directed) polypeptide C, 33kDa
POLR2B	5431	Homo sapiens	polymerase (RNA) II (DNA directed) polypeptide B, 140kDa
LOC158376	158376	Homo sapiens	hypothetical LOC158376
POLR2A	5430	Homo sapiens	polymerase (RNA) II (DNA directed) polypeptide A, 220kDa
PRPF19	27339	Homo sapiens	PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae)
LECT1	11061	Homo sapiens	leukocyte cell derived chemotaxin 1
RB1CC1	9821	Homo sapiens	RB1-inducible coiled-coil 1
ETFDH	2110	Homo sapiens	electron-transferring-flavoprotein dehydrogenase
CC2D1B	200014	Homo sapiens	coiled-coil and C2 domain containing 1B
SNRNP70	6625	Homo sapiens	small nuclear ribonucleoprotein 70kDa (U1)
CC2D1A	54862	Homo sapiens	coiled-coil and C2 domain containing 1A
LECT2	3950	Homo sapiens	leukocyte cell-derived chemotaxin 2
POLR3G	10622	Homo sapiens	polymerase (RNA) III (DNA directed) polypeptide G (32kD)
POLR3F	10621	Homo sapiens	polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa
POLR3H	171568	Homo sapiens	polymerase (RNA) III (DNA directed) polypeptide H (22.9kD)
POLR3K	51728	Homo sapiens	polymerase (RNA) III (DNA directed) polypeptide K, 12.3 kDa
BAIAP2L2	80115	Homo sapiens	BAI1-associated protein 2-like 2
IPO13	9670	Homo sapiens	importin 13
BAIAP2L1	55971	Homo sapiens	BAI1-associated protein 2-like 1
IPO11	51194	Homo sapiens	importin 11
MACROD2	140733	Homo sapiens	MACRO domain containing 2
POLR3A	11128	Homo sapiens	polymerase (RNA) III (DNA directed) polypeptide A, 155kDa
MACROD1	28992	Homo sapiens	MACRO domain containing 1
PRPF18	8559	Homo sapiens	PRP18 pre-mRNA processing factor 18 homolog (S. cerevisiae)
POLR3C	10623	Homo sapiens	polymerase (RNA) III (DNA directed) polypeptide C (62kD)
POLR3B	55703	Homo sapiens	polymerase (RNA) III (DNA directed) polypeptide B
PNLDC1	154197	Homo sapiens	poly(A)-specific ribonuclease (PARN)-like domain containing 1
